HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments,,JIRA REF
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,,,
0,,,,,,"F-R4, F-R6",,IF TXA-19 NOT VALUED,,,status,,,,,,,"""current""",,,,
1,TXA-1,Set ID- TXA,SI,1,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
2,TXA-2,Document Type,CWE,1,1,"F-R4, F-R6",,,,,type,,CodeableConcept,0,1,CWE[CodeableConcept],,,,,,
3,TXA-3,Document Content Presentation,ID,0,1,"F-R4, F-R6",,,,,content.attachment.contentType,,code,1,1,ID[code],,,,,,
4,TXA-4,Activity Date/Time,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
5,TXA-5,Primary Activity Provider Code/Name,XCN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
6,TXA-6,Origination Date/Time,DTM,0,1,"F-R4, F-R6",,,,If time is included,date,,instant,0,1,,,,,,,
6,TXA-6,Origination Date/Time,DTM,0,1,"F-R4, F-R6",,,,If time is not included and FHIR R6.0 is available.,extension[1].url,,uri,0,1,,,"""http://hl7.org/fhir/6.0/StructureDefinition/extension-date""",,,,
6,TXA-6,Origination Date/Time,DTM,0,1,"F-R4, F-R6",,,,If time is not included and FHIR R6.0 is available.,extension[1].valueDate,,dateTime,,,,,,,,,
7,TXA-7,Transcription Date/Time,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
8,TXA-8,Edit Date/Time,DTM,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
9,TXA-9,Originator Code/Name,XCN,0,-1,"F-R4, F-R6",,,,,author(Practitioner),,Reference,0,-1,XCN[Practitioner],,,,,,
10,TXA-10,Assigned Document Authenticator,XCN,0,-1,"F-R4, F-R6",,,,,authenticator(Practitioner),,Reference,0,1,XCN[Practitioner],,,,,,
11,TXA-11,Transcriptionist Code/Name,XCN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
12,TXA-12,Unique Document Number,EI,1,1,"F-R4, F-R6",,,,,masterIdentifier,,Identifier,0,1,EI[Identifier-Organization],,,,,,
13,TXA-13,Parent Document Number,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
14,TXA-14,Placer Order Number,EI,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
15,TXA-15,Filler Order Number,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
16,TXA-16,Unique Document File Name,ST,0,1,"F-R4, F-R6",,,,,identifier[1],,Identifier,0,-1,ST[Identifier],,,,Need to ensure that the full path is represented.,,
17,TXA-17,Document Completion Status,ID,1,1,"F-R4, F-R6",,,,,docStatus,,code,0,1,ID[code],,,,,,
18,TXA-18,Document Confidentiality Status,ID,0,1,"F-R4, F-R6",,,,,securityLabel,,CodeableConcept,0,-1,ID[CodeableConcept],DocumentConfidentialityStatus,,,,,
19,TXA-19,Document Availability Status,ID,0,1,"F-R4, F-R6",,"IF TXA-19 = ""AV""",,,status,,code,1,1,ID[code],,"""current""",,,,
19,TXA-19,Document Availability Status,ID,0,1,"F-R4, F-R6",,"IF TXA-19 IN (""CA"", ""OB"", ""UN"")",,,status.extension[1].url,,uri,0,1,,,"""http://hl7.org/fhir/StructureDefinition/alternate-codes""",,,,
19,TXA-19,Document Availability Status,ID,0,1,"F-R4, F-R6",,"IF TXA-19 IN (""CA"", ""OB"", ""UN"")",,,status.extension[1].valueCodeableConcept,,CodeableConcept,0,1,ID[CodeableConcept],,,,,,
20,TXA-20,Document Storage Status,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
21,TXA-21,Document Change Reason,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
22,TXA-22,"Authentication Person, Time Stamp (set)",PPN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
23,TXA-23,Distributed Copies (Code and Name of Recipient(s) ),XCN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
24,TXA-24,Folder Assignment,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
25,TXA-25,Document Title,ST,0,-1,"F-R4, F-R6",,,,,description,,string,,,,,,,,,
26,TXA-26,Agreed Due Date/Time,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
27,TXA-27,Creating Facility,HD,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
28,TXA-28,Creating Specialty,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
