HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments,,JIRA REF
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,,,
1,TXA-1,Set ID- TXA,SI,1,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
2,TXA-2,Document Type,CWE,1,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
3,TXA-3,Document Content Presentation,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
4,TXA,Activity Date/Time,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
5,TXA,Primary Activity Provider Code/Name,XCN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
6,TXA,Origination Date/Time,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
7,TXA,Transcription Date/Time,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
8,TXA,Edit Date/Time,DTM,0,-1,"F-R4, F-R6",,,,,recorded,,instant,1,1,,,,,,,
9,TXA,Originator Code/Name,XCN,0,-1,"F-R4, F-R6",,,,,agent[2].role[1].coding[1].code,,code,0,1,,,"""IRCP""",,,,
9,TXA,Originator Code/Name,XCN,0,-1,"F-R4, F-R6",,,,,agent[2].role[1].coding[1].system,,uri,0,-1,,,"""https://hl7.org/fhir/R4/v3/ParticipationType/cs.html""",,,,
9,TXA,Originator Code/Name,XCN,0,-1,"F-R4, F-R6",,,,,agent[2].who(Practitioner),,Reference,1,1,XCN[Practitioner],,,,,,
10,TXA,Assigned Document Authenticator,XCN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
11,TXA,Transcriptionist Code/Name,XCN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
12,TXA,Unique Document Number,EI,1,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
13,TXA,Parent Document Number,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
14,TXA,Placer Order Number,EI,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
15,TXA,Filler Order Number,EI,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
16,TXA,Unique Document File Name,ST,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
17,TXA,Document Completion Status,ID,1,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
18,TXA,Document Confidentiality Status,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
19,TXA,Document Availability Status,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
20,TXA,Document Storage Status,ID,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
21,TXA,Document Change Reason,ST,0,1,"F-R4, F-R6",,,,,reason.text,,string,0,-1,,,,,,,
22,TXA,"Authentication Person, Time Stamp (set)",PPN,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
23,TXA,Distributed Copies (Code and Name of Recipient(s) ),XCN,0,-1,"F-R4, F-R6",,,,If the distribution was updated after the initial message was sent.,agent[1].role[1].coding[1].code,,code,0,1,,,"""IRCP""",,,,
23,TXA,Distributed Copies (Code and Name of Recipient(s) ),XCN,0,-1,"F-R4, F-R6",,,,If the distribution was updated after the initial message was sent.,agent[1].role[1].coding[1].system,,uri,0,-1,,,"""https://hl7.org/fhir/R4/v3/ParticipationType/cs.html""",,,,
23,TXA,Distributed Copies (Code and Name of Recipient(s) ),XCN,0,-1,"F-R4, F-R6",,,,If the distribution was updated after the initial message was sent.,agent[1].who(Practitioner),,Reference,1,1,XCN[Practitioner],,,,,,
,,,,,,"F-R4, F-R6",,,,,,,,,,,,,,,,
,,,,,,"F-R4, F-R6",,,,,,,,,,,,,,,,
,,,,,,"F-R4, F-R6",,,,,,,,,,,,,,,,
,,,,,,"F-R4, F-R6",,,,,,,,,,,,,,,,
24,TXA,Folder Assignment,CWE,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
25,TXA,Document Title,ST,0,-1,"F-R4, F-R6",,,,,,,,,,,,,,,,
26,TXA,Agreed Due Date/Time,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
27,TXA,Creating Facility,HD,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
28,TXA,Creating Specialty,CWE,0,1,"F-R4, F-R6",,,,,,,,,,,,,,,,
