HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,IAM-1,Set ID - IAM,SI,1,1,,,,,,,,,,,,,
2,IAM-2,Allergen Type Code,CWE,0,1,,,,category,,code,0,-1,CWE[Code],AllergyCategory,,,
2,IAM-2,Allergen Type Code,CWE,0,1,,,,type,,code,0,1,CWE[Code],AllergyType,,,
3,IAM-3,Allergen Code/Mnemonic/Description,CWE,1,1,,,,code[1],,CodeableConcept,0,1,CWE[CodeableConcept],,,,
4,IAM-4,Allergy Severity Code,CWE,0,1,,,,reaction.severity,,code,0,1,,AllergySeverity,,,
5,IAM-5,Allergy Reaction Code,ST,0,1,,,,reaction.manifestation.text,,CodeableConcept,0,1,CWE[CodeableConcept],,,,
6,IAM-6,Allergy Action Code,CNE,1,1,,,,,,,,,,,,,
7,IAM-7,Allergy Unique Identifier,EI,0,1,,,,identifier,,identifier,0,-1,EI[Identifier],,,,
8,IAM-8,Action Reason,ST,0,1,,,,,,,,,,,,,
9,IAM-9,Sensitivity to Causative Agent Code,CWE,0,1,,,,,,,,,,,,,
10,IAM-10,Allergen Group Code/Mnemonic/Description,CWE,0,1,,,,,,,,,,,,,
11,IAM-11,Onset Date,DT,0,1,,,,onsetDateTime,,dateTime,0,1,,,,,
12,IAM-12,Onset Date Text,ST,0,1,IF IAM-11 NOT VALUED,,,onsetString,,string,0,1,,,,,"Cannot map to both onsetDateTime and onsetString, so take onsetDateTime if available."
13,IAM-13,Reported Date/Time,DTM,0,1,,,,recordedDate,,dateTime,0,1,,,,,
14,IAM-14,Reported By,XPN,0,1,IF IAM-15 NOT VALUED,,"If IAM-15 is not valued, not always 100% clear this is a practitioner, so much review locally.",recorder.reference(Practitioner.name),,HumanName,0,1,XPN,,,,
14,IAM-14,Reported By,XPN,0,1,"IF IAM-15 EQUALS ""SEL""",,,recorder.reference(Patient[1].name),,HumanName,0,1,XPN,,,,
14,IAM-14,Reported By,XPN,0,1,"IF IAM-15 VALUED AND NOT ""SEL""",,,recorder.reference(RelatedPerson.name),,HumanName,0,1,XPN,,,,
15,IAM-15,Relationship to Patient,CWE,0,1,"IF IAM-15 VALUED AND NOT ""SEL""",,,recorder.reference(RelatedPerson.relationship),,CodeableConcept,0,-1,CWE[CodeableConcept],Relationship,,,
16,IAM-16,Alert Device Code,CWE,0,1,,,,,,,,,,,,,
17,IAM-17,Allergy Clinical Status,CWE,0,1,,,,clinicalStatus,,CodeableConcept,0,1,CWE[CodeableConcept],,,,
18,IAM-18,Statused by Person,XCN,0,1,,,,,,,,,,,,,
19,IAM-19,Statused by Organization,XON,0,1,,,,,,,,,,,,,
20,IAM-20,Statused at Date/Time,DTM,0,1,,,,,,,,,,,,,
21,IAM-21,Inactivated by Person,XCN,0,1,,,,,,,,,,,,,
22,IAM-22,Inactivated Date/Time,DTM,0,1,,,,,,,,,,,,,
23,IAM-23,Initially Recorded by Person,XCN,0,1,,,,,,,,,,,,,
24,IAM-24,Initially Recorded Date/Time,DTM,0,1,,,,,,,,,,,,,
25,IAM-25,Modified by Person,XCN,0,1,,,,,,,,,,,,,
26,IAM-26,Modified Date/Time,DTM,0,1,,,,,,,,,,,,,
27,IAM-27,Clinician Identified Code,CWE,0,1,,,,code[1],,CodeableConcept,,,CWE[CodeableConcept],,,,The values are added as additional .coding entries in the CodeableConcept for AllergyIntolerance.code
28,IAM-28,Initially Recorded by Organization,XON,0,1,,,,,,,,,,,,,
29,IAM-29,Modified by Organization,XON,0,1,,,,,,,,,,,,,
30,IAM-30,Inactivated by Organization,XON,0,1,,,,,,,,,,,,,
