HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,NTE-1,Set ID,SI,0,1,,,,,,,,,,,,,
2,NTE-2,Source of Comment,ID,0,1,,,,,,,,,,,,,
3,NTE-3,Comment,FT,0,-1,,,,extension[1].url,,uri,0,-1,,,"""http://hl7.org/fhir/5.0/StructureDefinition/extension-Appointment.note""",,"When multiple comments are included, they should yield line feeds in Annotation.text."
3,NTE-3,Comment,FT,0,-1,,,,extension[1].valueAnnotation,,Annotation,0,-1,FT[Annotation-Comment],,,,
4,NTE-4,Comment Type,CWE,0,1,,,,extension[2].extension[1].url,,uri,0,-1,,,"""http://hl7.org/fhir/StructureDefinition/annotationType""",,
4,NTE-4,Comment Type,CWE,0,1,,,,extension[2].valueCodeableConcept,,CodeableConcept,0,-1,CWE[CodeableConcept],,,,
5,NTE-5,Entered By,XCN,0,1,,,,extension[1].url,,uri,0,-1,,,"""http://hl7.org/fhir/5.0/StructureDefinition/extension-Appointment.note""",,
5,NTE-5,Entered By,XCN,0,1,,,,extension[1].valueAnnotation,,Annotation,0,-1,XCN[Annotation-Author],,,,
6,NTE-6,Entered Date/Time,DTM,0,1,,,,extension[1].url,,uri,0,-1,,,"""http://hl7.org/fhir/5.0/StructureDefinition/extension-Appointment.note""",,
6,NTE-6,Entered Date/Time,DTM,0,1,,,,extension[1].valueAnnotation,,Annotation,0,-1,DTM[Annotation-Time],,,,
7,NTE-7,Effective Start Date ,DTM,0,1,,,,,,,,,,,,,
8,NTE-8,Expiration Date,DTM,0,1,,,,,,,,,,,,,
9,NTE-9,Coded Comment,CWE,0,-1,,,,extension[3].url,,uri,0,-1,,,"""http://hl7.org/fhir/StructureDefinition/alternate-codes""",,
9,NTE-9,Coded Comment,CWE,0,-1,,,,extension[3].valueCodeableConcept,,CodeableConcept,0,-1,CWE[CodeableConcept],,,,
