HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,OBX-1,Set ID – OBX,SI,0,1,,,,,,,,,,,,,
2,OBX-2,Value Type,ID,0,1,,,,,,,,,,,,,
3,OBX-3,Observation Identifier,CWE,1,1,,,,,,,,,,,,,
4,OBX-4,Observation Sub-ID,OG,0,1,,,,,,,,,,,,,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2=""ED""",,,content[1].attachment,,Attachment,,,ED[Attachment],,,,"When OBX-5 repeats, each repeat yields a new .content instance."
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2=""FT""",,,content[2].data,,binary64,,,,,,,"When OBX-5 repeats, each repeat yields a line feed within .content[2].data"
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2=""FT""",,,content[2].contentType,,code,,,,,"""text/hl7v2""",,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2=""RP""",,,content[3].url,,uri,,,,,,,"When OBX-5 repeats, each repeat yields a new .content instance."
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2=""TX""",,,content[4].data,,binary64,,,,,,,"When OBX-5 repeats, each repeat yields a line feed within .content[4].data"
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2=""TX""",,,content[4].contentType,,code,,,,,"""application/text""",,
6,OBX-6,Units,CWE,0,1,,,,,,,,,,,,,
7,OBX-7,References Range,ST,0,1,,,,,,,,,,,,,
8,OBX-8,Interpretation Codes,CWE,0,-1,,,,,,,,,,,,,
9,OBX-9,Probability,NM,0,1,,,,,,,,,,,,,
10,OBX-10,Nature of Abnormal Test,ID,0,-1,,,,,,,,,,,,,
11,OBX-11,Observation Result Status,ID,1,1,,,,,,,,,,,,,
12,OBX-12,Effective Date of Reference Range,DTM,0,1,,,,,,,,,,,,,
13,OBX-13,User Defined Access Checks,ST,0,1,,,,,,,,,,,,,
14,OBX-14,Date/Time of the Observation,DTM,0,1,,,,,,,,,,,,,
15,OBX-15,Producer's ID,CWE,0,1,,,,,,,,,,,,,
16,OBX-16,Responsible Observer,XCN,0,-1,,,,,,,,,,,,,
17,OBX-17,Observation Method,CWE,0,-1,,,,,,,,,,,,,
18,OBX-18,Equipment Instance Identifier,EI,0,-1,,,,,,,,,,,,,
19,OBX-19,Date/Time of the Analysis,DTM,0,1,,,,,,,,,,,,,
20,OBX-20,Observation Site,CWE,0,-1,,,,,,,,,,,,,
21,OBX-21,Observation Instance Identifier,EI,0,1,,,,,,,,,,,,,
21,OBX-21,Observation Instance Identifier,EI,0,1,,,,,,,,,,,,,
22,OBX-22,Mood Code,CNE,0,1,,,,,,,,,,,,,
23,OBX-23,Performing Organization Name,XON,0,1,,,,,,,,,,,,,
24,OBX-24,Performing Organization Address,XAD,0,1,,,,,,,,,,,,,
25,OBX-25,Performing Organization Medical Director,XCN,0,1,,,,,,,,,,,,,
26,OBX-26,Patient Results Release Category,ID,0,1,,,,,,,,,,,,,
27,OBX-27,Root Cause,CWE,0,1,,,,,,,,,,,,,
28,OBX-28,Local Process Control,CWE,0,-1,,,,,,,,,,,,,
29,OBX-29,Observation Type,ID,0,1,,,,,,,,,,,,,
30,OBX-30,Observation Sub-Type,ID,0,1,,,,,,,,,,,,,
31,OBX-31,Action Code,ID,0,1,,,,,,,,,,,,,
32,OBX-32,Observation Value Absent Reason,CWE,0,-1,,,,,,,,,,,,,
33,OBX-33,Observation Related Specimen Identifier,EIP,0,-1,,,,,,,,,,,,,
