HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,OBX-1,Set ID – OBX,SI,0,1,,,,,,,,,,,,,
2,OBX-2,Value Type,ID,0,1,,,,,,,,,,,,,OBX-2 determines the flavor of Observation.value[x] is used in OBX-5
3,OBX-3,Observation Identifier,CWE,1,1,,,,code,,CodeableConcept,1,1,CWE[CodeableConcept],,,,
3,OBX-3,Observation Identifier,CWE,1,1,,,,component[each].code,,CodeableConcept,1,1,CWE[CodeableConcept],,,,
4,OBX-4,Observation Sub-ID,ST,0,1,,,"Map to Observation.partOf or Observation.hasMember or Observation.DerivedFrom according to the implementation guidance for the v2 message at hand, otherwise map to the extension-sub-id to enable the final destination to determine how to structure the observations.",$this,,,,,OG[Extension-Subidentifier],,,,"OBX-4 Sub Identifier would determine how to use Observation.partOf or Observation.hasMember or Observation.DerivedFrom, but is highly dependent on the local implementation of OBX-4 or an implementation guide (e.g., LRI, Clinical Genomics).  That is not known at the standard level, so we cannot provide specific mapping guidance here.  However, if the mapper does not have access to the syntax used and its meaning, we need to be able to pass on OBX-4 Sub Identifier to the final destination that should know how to then structure it using FHIR attributes."
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""NM""",,,component[each].valueQuantity,,quantity,0,1,NM[Quantity],,,,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 IN (""ST"", ""FT"", ""TX"")",,"Any markup in ST, FT or TX data may not present properly given that valueString is a string data type",component[each].valueString,,string,0,1,,,,,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""CF""",,,component[each].valueCodeableConcept,,CodeableConcept,0,1,CF[CodeableConcept],,,,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""CNE""",,,component[each].valueCodeableConcept,,CodeableConcept,0,1,CNE[CodeableConcept],,,,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""CE""",,,component[each].valueCodeableConcept,,CodeableConcept,0,1,CE[CodeableConcept],,,,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""CWE""",,,component[each].valueCodeableConcept,,CodeableConcept,0,1,CWE[CodeableConcept],,,,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""IS""",,,component[each].valueCodeableConcept,,CodeableConcept,0,1,IS[CodeableConcept],,,,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""DR""",,,component[each].valuePeriod,,Period,0,1,DR[Period],,,,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 IN (""DTM"", ""DT"")",,,component[each].valueDateTime,,dateTime,0,1,,,,,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""NR""",,,component[each].valueRange,,Range,0,1,NR[Range],,,,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""VR""",,,component[each].valueString,,string,0,1,,,"OBX-5.1+""-""+OBX-5.2",,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""TM""",,,component[each].valueTime,,time,0,1,,,,,
5,OBX-5,Observation Value,varies,0,-1,"IF (OBX-2 EQUALS ""SN""  AND OBX-5.1  EQUALS ""<>""",,,component[each].valueString,,string,0,1,,,"OBX-5.1+"" ""+OBX-5.2+"" ""+OBX-5.3+"" ""+OBX-5.4"" ""OBX-6""",,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""SN"" AND OBX-5.1  NOT EQUALS ""<>"" AND OBX-5.3 IN ("":"", ""/"")",,,component[each].valueRatio[1],,Ratio,0,1,SN[Ratio],,,,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""SN"" AND OBX-5.1  NOT EQUALS ""<>"" AND OBX-5.3 EQUALS ""-""",,,component[each].valueRange[1],,Range,0,1,SN[Range],,,,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""SN"" AND OBX-5.1  NOT EQUALS ""<>"" AND OBX-5.3 EQUALS ""+""",,,component[each].valueString,,string,0,1,,,"OBX-5.1+"" ""+OBX-5.2+"" ""+OBX-5.3+"" ""+OBX-5.4"" ""OBX-6""",,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""SN"" AND OBX-5.1  NOT EQUALS ""<>"" AND OBX-5.3 NOT IN ("":"", ""/"", ""-"", ""+"")",,,component[each].valueQuantity[1],,Quantity,0,1,SN[Quantity],,,,
5,OBX-5,Observation Value,varies,0,-1,,,If line 19 through 23 all fail while OBX-2 = SN,component[each].valueString,,string,0,1,,,"OBX-5.1+"" ""+OBX-5.2+"" ""+OBX-5.3+"" ""+OBX-5.4"" ""OBX-6""",,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""NA""",,,,,,,,,,,,"When OBX-2 is ""NA"" it cannot be mapped to Observation.component.  Use the guidance in HL7 Segment - FHIR R4: OBX[Observation]."
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""ED"" AND IF OBX-5.4 EQUALS ""Base64""",,If none of the other observations in OBX-5 are not derived from the documentation included,component[each].extension[1].url,,uri,1,1,,,"""https://hl7.org/fhir/5.0/StructureDefinition/extension-Observation.valueAttachment""",,Some implementers may include in OBX-5 the documentation that the other OBX-5 components are derived from.  In that situations
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""ED"" AND IF OBX-5.4 EQUALS ""Base64""",,If none of the other observations in OBX-5 are not derived from the documentation included,component[each].extension[1].valueAttachment,,Attachment,1,1,ED[Attachment],,,,"We are for now addressing Base64 that cover .pdf, pictures and other binaries.  If somebody does this, we will address those."
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""ED"" AND IF OBX-5.4 EQUALS ""Base64""",,And if other observation in OBX-5 are derived from the documentation included,derivedFrom(DocumentReference),,Reference,,,ED[DocumentReference],,,,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""EI""",,,,,,,,,,,,"Requires more work to properly map.  Use case: An OBX under OBR that points to the calibration/quality control/etc. settings/values/result/etc. that the other OBX-s under the OBR would be ""subject"" to."
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""RP""",,If none of the other observations in OBX-5 are not derived from the documentation referenced,component[each].extension[1].url,,uri,1,1,,,"""https://hl7.org/fhir/5.0/StructureDefinition/extension-Observation.valueAttachment""",,
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""RP""",,If none of the other observations in OBX-5 are not derived from the documentation referenced,component[each].extension[1].valueAttachment,,Attachment,1,1,RP[Attachment],,,,To be resolved when we resolve DocumentReference and valueAttachment
5,OBX-5,Observation Value,varies,0,-1,"IF OBX-2 EQUALS ""RP""",,And if other observation in OBX-5 are derived from the documentation being referenced,derivedFrom(DocumentReference),,Reference,,,RP[DocumentReference],,,,
6,OBX-6,Units,CWE,0,1,"IF OBX-2 IN (""NA"", ""NM"")",,,component[each].valueQuantity,,Quantity,,,CWE[Quantity],,,,
6,OBX-6,Units,CWE,0,1,"IF OBX-2 EQUALS ""SN"" AND OBX-5.1  NOT EQUALS ""<>"" AND OBX-5.3 NOT IN ("":"", ""/"", ""-"", ""+"")",,,component[each].valueQuantity[1],,Quantity,,,CWE[Quantity],,,,Note that OBX-5 and OBX-6 resolve to different components for the same Quantity data type.
6,OBX-6,Units,CWE,0,1,"IF OBX-2 EQUALS ""SN"" AND OBX-5.1  NOT EQUALS ""<>"" AND OBX-5.3 EQUALS ""-""",,,component[each].valueRange[1].low,,SimpleQuantity,,,CWE[Quantity],,,,
6,OBX-6,Units,CWE,0,1,"IF OBX-2 EQUALS ""SN"" AND OBX-5.1  NOT EQUALS ""<>"" AND OBX-5.3 EQUALS ""-""",,,component[each].valueRange[1].high,,SimpleQuantity,,,CWE[Quantity],,,,
6,OBX-6,Units,CWE,0,1,"IF OBX-2 EQUALS ""SN"" AND OBX-5.1  NOT EQUALS ""<>"" AND OBX-5.3 IN ("":"", ""/"")",,,component[each].valueRatio[1].numerator,,Quantity,,,CWE[Quantity],,,,
