HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,ORC-1,Order Control,ID,1,1,"IF ORC-1 EQUALS ""NW""",,,activity.coding.code,,code,0,1,,,"""CREATE""",,
1,ORC-1,Order Control,ID,1,1,"IF ORC-1 EQUALS ""NW""",,,activity.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/v3-DataOperation""",,
1,ORC-1,Order Control,ID,1,1,"IF ORC-1 EQUALS ""SC""",,,activity.coding.code,,code,0,1,,,"""UPDATE""",,
1,ORC-1,Order Control,ID,1,1,"IF ORC-1 EQUALS ""SC""",,,activity.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/v3-DataOperation""",,
1,ORC-1,Order Control,ID,1,1,"IF ORC-1 IN (""OC"", ""CA"")",,,activity.coding.code,,code,0,1,,,"""DELETE""",,
1,ORC-1,Order Control,ID,1,1,"IF ORC-1 IN (""OC"", ""CA"")",,,"activity.coding.system=""http://terminology.hl7.org/CodeSystem/v3-DataOperation""",,uri,0,1,,,,,
2,ORC-2,Placer Order Number,EI,0,1,,,,,,,,,,,,,
3,ORC-3,Filler Order Number,EI,0,1,,,,,,,,,,,,,
4,ORC-4,Placer Group Number,EIP - This is EI in many versions including 2.9,0,1,,,,,,,,,,,,,
5,ORC-5,Order Status,ID,0,1,,,,,,,,,,,,,
6,ORC-6,Response Flag,ID,0,1,,,,,,,,,,,,,
7,ORC-7,Quantity/Timing,TQ,0,-1,,,,,,,,,,,,,
8,ORC-8,Parent Order,EIP,0,1,,,,,,,,,,,,,
9,ORC-9,Date/Time of Transaction,DTM,0,1,,,,recorded,,instant,1,1,,,,,
9,ORC-9,Date/Time of Transaction,DTM,0,1,,,,occurredDateTime,,dateTime,0,1,,,,,
10,ORC-10,Entered By,XCN,0,-1,,,,agent[1].who(Practitioner),,Reference(Practitioner),1,1,XCN[Practitioner],,,,
10,ORC-10,Entered By,XCN,0,-1,,,,agent[1].type.coding.code,,code,0,1,,,"""enterer""",,
10,ORC-10,Entered By,XCN,0,-1,,,,agent[1].type.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/provenance-participant-type""",,
11,ORC-11,Verified By,XCN,0,-1,,,,agent[2].who(Practitioner),,Reference(Practitioner),1,1,XCN[Practitioner],,,,
11,ORC-11,Verified By,XCN,0,-1,,,,agent[2].type.coding.code,,code,0,1,,,"""verifier""",,
11,ORC-11,Verified By,XCN,0,-1,,,,agent[2].type.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/provenance-participant-type""",,
12,ORC-12,Ordering Provider,XCN,0,-1,,,,agent[3].who(Practitioner),,Reference(Practitioner),1,1,XCN[Practitioner],,,,
12,ORC-12,Ordering Provider,XCN,0,-1,,,,agent[3].type.coding.code,,code,0,1,,,"""author""",,
12,ORC-12,Ordering Provider,XCN,0,-1,,,,agent[3].type.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/provenance-participant-type""",,
13,ORC-13,Enterer's Location,PL,0,1,,,,,,,,,,,,,
14,ORC-14,Call Back Phone Number,XTN,0..2,2,,,,,,,,,,,,,
15,ORC-15,Order Effective Date/Time,DTM,0,1,,,,,,,,,,,,,
16,ORC-16,Order Control Code Reason,CWE,0,1,,,,,,,,,,,,,
17,ORC-17,Entering Organization,CWE,0,1,,,,agent[1].onBehalfOf(Organization),,Reference(Organization),0,1,CWE[Organization],,,,
18,ORC-18,Entering Device,CWE,0,1,,,,,,,,,,,,,
19,ORC-19,Action By,XCN,0,-1,,,,,,,,,,,,,
20,ORC-20,Advanced Beneficiary Notice Code,CWE,0,1,,,,,,,,,,,,,
21,ORC-21,Ordering Facility Name,XON,0,-1,,,,location(Location[1]),,Reference(Location),0,1,XON[Location],,,,
22,ORC-22,Ordering Facility Address,XAD,0,-1,,,,location(Location[1].address),,Address,0,1,XAD[Address],,,,
23,ORC-23,Ordering Facility Phone Number,XTN,0,-1,,,,location(Location[1].telecom),,ContactPoint,0,1,XTN[ContactPoint],,,,
24,ORC-24,Ordering Provider Address,XAD,0,-1,,,,agent[3].who(Practitioner.address),,Address,0,1,XAD[Address],,,,
25,ORC-25,Order Status Modifier,CWE,0,1,,,,,,,,,,,,,
26,ORC-26,Advanced Beneficiary Notice Override Reason,CWE,0,1,,,,,,,,,,,,,
27,ORC-27,Filler's Expected Availability Date/Time,DTM,0,1,,,,,,,,,,,,,
28,ORC-28,Confidentiality Code,CWE,0,1,,,,,,,,,,,,,
29,ORC-29,Order Type,CWE,0,1,,,,,,,,,,,,,
30,ORC-30,Enterer Authorization Mode,CNE,0,1,,,,,,,,,,,,,
31,ORC-31,Parent Universal Service Identifier,CWE,0,1,,,,,,,,,,,,,
32,ORC-32,Advanced Beneficiary Notice Date,DT,0,1,,,,,,,,,,,,,
33,ORC-33,Alternate Placer Order Number,CX,0,-1,,,,,,,,,,,,,
34,ORC-34,Order Workflow Profile,CWE,0,-1,,,,,,,,,,,,,
