HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,PID-1,Set ID - PID,SI,0,1,,,,,,,,,,,,,
2,PID-2,Patient ID,CX,0,1,,,,Patient.identifier[1],,Identifier,0,-1,CX,,,,
3,PID-3,Patient Identifier List,CX,1,-1,,,,Patient.identifier[2],,Identifier,0,-1,CX,,,,
4,PID-4,Alternate Patient ID - PID,CX,0,1,,,,Patient.identifier[3],,Identifier,0,-1,CX,,,,
5,PID-5,Patient Name,XPN,1,-1,,,,Patient.name[1],,HumanName,0,-1,XPN,,,,
6,PID-6,Mother's Maiden Name,XPN,0,-1,,,,Patient.extension-mothersMaidenName,,HumanName,0,-1,XPN,,,,This may not be the second name if there are repeats in PID-5. ext.patientMothersMaiden (string) also exists if we prefer.
7,PID-7,Date/Time of Birth,DTM,0,1,,,,Patient.birthDate,,date,0,1,DTM[Date],,,,"PROPOSAL MOVE TO IG IMPLEMENTATION GUIDANCE SECTION: Use ISO 8601 to establish the re-formatting from HL7 v2 data type to HL7 FHIR data type, particularly when mapping a platform datetime to platform date.  ADD OTHER REFERENCES ON HOW TO ACHIEVE THESE CONVERSIONS in Java, CSHarp, etc., etc."
7,PID-7,Date/Time of Birth,DTM,0,1,IF LENGTH GREATER THAN 8,,,Patient.extension-birthTime,,dateTime,0,1,,,,,
8,PID-8,Administrative Sex,CWE,0,1,,,,Patient.gender,,code,0,1,CWE[code],Gender,,,
9,PID-9,Patient Alias,XPN,0,-1,,,,Patient.name[2],,HumanName,0,-1,XPN,,,,
10,PID-10,Race,CWE,0,-1,,,"if PID-10 is for administrative purposes use your local extension, e.g., US = US Core Race Extension, AUS = indiginous extension.",,local implementation,,,,,,,,"For an international document, it may not be possible to come up with a FHIR value set for race."
10,PID-10,Race,CWE,0,-1,,,If PID-10 is for clinical purposes,Observation,,,0,-1,CWE[Race],,,,
10,PID-10,Race,CWE,0,-1,,,If PID-10 is for clinical purposes,Observation.subject.reference,,,,,,,Patient.id,,
11,PID-11,Patient Address,XAD,0,-1,,,,Patient.address[1],,Address,0,-1,XAD,,,,
12,PID-12,County Code,IS,0,1,IF PID-11.9 IS NOT VALUED,,,Patient.address[1].district,,string,0,1,,,,,"This may not be the second occurrence if PID-11 repeats. Because PID-11 can repeat but PID-12 cannot, it's not appropriate to include PID-12 in an iteration of .address populated from PID-11"
13,PID-13,Phone Number - Home,XTN,0,-1,,,,Patient.telecom[1],,ContactPoint,0,-1,XTN,,,,
13,PID-13,Phone Number - Home,XTN,0,-1,IF PID-13.2 IS NOT VALUED,,,Patient.telecom[1].use,,,,,,,"""home""",,
14,PID-14,Phone Number - Business,XTN,0,-1,,,,Patient.telecom[2],,ContactPoint,0,-1,XTN,,,,
14,PID-14,Phone Number - Business,XTN,0,-1,IF PID-13.2 IS NOT VALUED,,,Patient.telecom[2].use,,,,,,,"""work""",,
15,PID-15,Primary Language,CWE,0,1,,,,Patient.communication.language,,CodeableConcept,0,-1,CWE[CodeableConcept],Language,,,"During implementation, if you know that the value in PID-15 is the preferred patient language, then Patient.communication.preferred can be set to ""true""."
16,PID-16,Marital Status,CWE,0,1,,,,Patient.maritalStatus,,CodeableConcept,0,1,CWE[CodeableConcept],MaritalStatus,,,
17,PID-17,Religion,CWE,0,1,,,,Patient.extension-patient-religion,,CodeableConcept,0,-1,CWE[CodeableConcept],Religion,,,
18,PID-18,Patient Account Number,CX,0,1,,,,Account[1].identifier,,Identifier,0,-1,CX,,,,Where Account.subject.Reference(Patient.identifier)=Patient.identifier
18,PID-18,Patient Account Number,CX,0,1,,,,Account[1].subject,,,,,,,Patient.id,,
19,PID-19,SSN Number - Patient,ST,0,1,,,,Patient.identifier[4].value,,string,0,1,,,,,the value set for Identifier.type doesn't contain SSN but it does have SB (social beneficiary)
19,PID-19,SSN Number - Patient,ST,0,1,,,,Patient.identifier[4].type.coding.code,,code,0,1,,,"""SB""",,
19,PID-19,SSN Number - Patient,ST,0,1,,,,Patient.identifier[4].type.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/v2-0203""",,
19,PID-19,SSN Number - Patient,ST,0,1,,,,Patient.identifier[4].system,,uri,0,1,,,"""http://hl7.org/fhir/sid/us-ssn.""",,"If working in a jurisdiction other than the US and this field is used for the local SSN equivalent, a different system will need to be identified."
20,PID-20,Driver's License Number - Patient,,0,1,,,,Patient.identifier[5],,identifier,0,1,DLN,,,,
21,PID-21,Mother's Identifier,CX,0,-1,,,,RelatedPerson.identifier,,Identifier,0,-1,CX,,,,"Where RelatedPerson.patient.Reference(Patient.identifier)=Patient.identifier
Is this worth worrying about?"
21,PID-21,Mother's Identifier,CX,0,-1,,,,RelatedPerson.patient.reference,,,,,,,Patient.id,,
21,PID-21,Mother's Identifier,CX,0,-1,,,,RelatedPerson.relationship.coding.code,,code,0,1,,,"""MTH""",,
21,PID-21,Mother's Identifier,CX,0,-1,,,,RelatedPerson.relationship.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/v3-RoleCode""",,
22,PID-22,Ethnic Group,CWE,0,-1,,,"If PID-22 is for administrative purposes use, then use your local extension, e.g., for US = US Core Ethnicity.",,,,,,,,,,"For an international document, it may not be possible to come up with a FHIR value set for race."
22,PID-22,Ethnic Group,CWE,0,-1,,,IF PID-22 is for clinical purposes,Observation,,,,,CWE[Ethnicity],,,,
23,PID-23,Birth Place,ST,0,1,,,,Patient.extension-patient-birthplace.text,,string,0,1,,,,,
24,PID-24,Multiple Birth Indicator,ID,0,1,IF PID-25 NOT VALUED,,,Patient.multipleBirthBoolean,,boolean,0,1,,Yes/No,,,
25,PID-25,Birth Order,NM,0,1,,,,Patient.multipleBirthInteger,,integer,0,1,,,,,
26,PID-26,Citizenship,CWE,0,-1,,,,Patient.extension-patient-citizenship[1].code,,CodeableConcept,0,-1,CWE[CodeableConcept],,,,The standard extension does not include a value set
27,PID-27,Veterans Military Status,CWE,0,1,,,,,Patient.#ext-veteranMilitaryStatus#,CodeableConcept,0,1,CWE[CodeableConcept],,,,
28,PID-28,Nationality,CWE,0,1,,,,Patient.extension-patient-nationality.code,,CodeableConcept,0,-1,CWE[CodeableConcept],,,,The standard extension does not include a value set
29,PID-29,Patient Death Date and Time,DTM,0,1,,,,Patient.deceasedDateTime,,dateTime,0,1,DTM,,,,
30,PID-30,Patient Death Indicator,ID,0,1,IF PID-29 NOT VALUED,,,Patient.deceasedBoolean,,boolean,0,1,,Yes/No,,,
31,PID-31,Identity Unknown Indicator,ID,0,1,,,,,Patient.#ext-identityUnknown#,boolean,0,1,,Yes/No,,,
32,PID-32,Identity Reliability Code,CWE,0,-1,,,,,,,,,,,,,
33,PID-33,Last Update Date/Time,DTM,0,1,,,,Patient.meta.lastUpdated,,instant,0,1,,,,,
34,PID-34,Last Update Facility,HD,0,1,,,,,Meta.#ext-lastUpdatedFacility(Organization)#,Reference(Organization),0,1,,,,,
35,PID-35,Taxonomic Classification Code,CWE,0,1,,,,Patient.extension-patient-animal.species,,CodeableConcept,0,1,CWE[CodeableConcept],,,,A voacabulary map may not be worth the lift given there is no HL7 table associated with this element
36,PID-36,Breed Code,CWE,0,1,,,,Patient.extension-patient-animal.breed,,CodeableConcept,0,1,CWE[CodeableConcept],,,,A voacabulary map may not be worth the lift given that the associated HL7 table (HL70447) has no suggested values
37,PID-37,Strain,ST,0,1,,,,,,,,,,,,,"If this is necessary, it should be an update to the existing animal extension"
38,PID-38,Production Class Code,CWE,0,2,,,,,,,,,,,,,
39,PID-39,Tribal Citizenship,CWE,0,-1,,,,Patient.extension-patient-citizenship[2].code,,CodeableConcept,0,-1,CWE[CodeableConcept],,,,"The standard extension does not include a value set.  Also suggest that the extension should not be limited to ""country"".  Consider adding a .type to the extension to distinguish tribal vs. ""country"" (or whatever we call it), or otherwise add an extension for tribal citizenship to accommodate the return flow."
40,PID-40,Patient Telecommunication Information,XTN,0,-1,,,,Patient.telecom[3],,ContactPoint,0,-1,XTN,,,,
