HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,PRT-1,Participation Instance ID,EI,0,1,,,,,,,,,,,,,
2,PRT-2,Action Code,ID,1,1,"IF PRT-2 IS ""D""",,inactivate the relationship between the mapped resource that the PRT segment is asociated with in the message with the Device resource.,,,,,,,,,,
2,PRT-2,Action Code,ID,1,1,"IF PRT-2 IS IN (""A"", ""S"", ""U"", X"")",,activate the relationship between the mapped resource that the PRT segment is asociated with in the message with the Device resource.,,,,,,,,,,
3,PRT-3,Action Reason,CWE,0,1,,,,,,,,,,,,,
4,PRT-4,Role of Participation,CWE,1,1,,,,participant.role,,CodeableConcept,,,CWE[CodeableConcept],Participation,,,
5,PRT-5,Person,XCN,0,-1,IF PRT-6 IS NOT VALUED,,,participant[1].member(Practitioner),,,,,XCN[Practitioner],,,,
5,PRT-5,Person,XCN,0,-1,IF PRT-6 IS NOT VALUED,,,participant[2].member(RelatedPerson),,,,,XCN[RelatedPerson],,,,
5,PRT-5,Person,XCN,0,-1,IF PRT-6 IS VALUED,,,participant[3].member(PractitionerRole),,,,,XCN[PractitionerRole],,,,
6,PRT-6,Person Provider Type,CWE,0,1,,,,participant[3].member(PractitionerRole),,,,,CWE[PractitionerRole],,,,
7,PRT-7,Organization Unit Type,CWE,0,1,,,,,,,,,,,,,
8,PRT-8,Organization,XON,0,-1,IF PRT-5 AND PRT-6 AREA NOT VALUED ,,,participant.member(Organization),,,,,XON[Organization],,,,
8,PRT-8,Organization,XON,0,-1,IF PRT-5 OR PRT-6 IS VALUED ,,,participant.onBehalfOf(Organization),,,,,XON[Organization],,,,
9,PRT-9,Location,PL,0,-1,,,,,,,,,,,,,
10,PRT-10,Device,EI,0,-1,,,,,,,,,,,,,
10,PRT-10,Device,EI,0,-1,,,,,,,,,,,,,
11,PRT-11,Begin Date/Time (arrival time),DTM,0,1,,,,participant.coveragePeriod.start,,dateTime,,,DTM[DateTime],,,,
12,PRT-12,End Date/Time (departure time),DTM,0,1,,,,participant.coveragePeriod.end,,dateTime,,,DTM[DateTime],,,,
13,PRT-13,Qualitative Duration,CWE,0,1,,,,,,,,,,,,,
14,PRT-14,Address,XAD,0,-1,IF PRT-6 IS NOT VALUED,,,participant[1].member(Practitioner.address),,,,,XAD[Address],,,,
14,PRT-14,Address,XAD,0,-1,IF PRT-6 IS NOT VALUED,,,participant[2].member(RelatedPerson.address),,,,,XAD[Address],,,,
14,PRT-14,Address,XAD,0,-1,IF PRT-6 IS VALUED,,,participant[3].member(PractitionerRole.address),,,,,XAD[Address],,,,
14,PRT-14,Address,XAD,0,-1,IF PRT-5 AND PRT-6 AREA NOT VALUED ,,,participant.member(Organization.address),,,,,XAD[Address],,,,
14,PRT-14,Address,XAD,0,-1,IF PRT-5 OR PRT-6 IS VALUED ,,,participant.onBehalfOf(Organization.address),,,,,XAD[Address],,,,
15,PRT-15,Telecommunication Address,XTN,0,-1,IF PRT-6 IS NOT VALUED,,,participant[1].member(Practitioner.telecom),,,,,XTN[ContactPoint],,,,
15,PRT-15,Telecommunication Address,XTN,0,-1,IF PRT-6 IS NOT VALUED,,,participant[2].member(RelatedPerson.telecom),,,,,XTN[ContactPoint],,,,
15,PRT-15,Telecommunication Address,XTN,0,-1,IF PRT-6 IS VALUED,,,participant[3].member(PractitionerRole.telecom),,,,,XTN[ContactPoint],,,,
15,PRT-15,Telecommunication Address,XTN,0,-1,IF PRT-5 AND PRT-6 AREA NOT VALUED ,,,participant.member(Organization.telecom),,,,,XTN[ContactPoint],,,,
15,PRT-15,Telecommunication Address,XTN,0,-1,IF PRT-5 OR PRT-6 IS VALUED ,,,participant.onBehalfOf(Organization.telecom),,,,,XTN[ContactPoint],,,,
16,PRT-16,UDI Device Identifier,EI,0,1,,,,,,,,,,,,,
17,PRT-17,Device Manufacture Date,DTM,0,1,,,,,,,,,,,,,
18,PRT-18,Device Expiry Date,DTM,0,1,,,,,,,,,,,,,
19,PRT-19,Device Lot Number,ST,0,1,,,,,,,,,,,,,
20,PRT-20,Device Serial Number,ST,0,1,,,,,,,,,,,,,
21,PRT-21,Device Donation Identification,EI,0,1,,,,,,,,,,,,,
22,PRT-22,Device Type,CNE,0,1,,,,,,,,,,,,,
23,PRT-23,Preferred Method of Contact,CWE,0,1,,,,,,,,,,,,,
24,PRT-24,Contact Identifiers,PLN,0,-1,,,,,,,,,,,,,
