HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,PRT-1,Participation Instance ID,EI,0,1,,,,,,,,,,,,,
2,PRT-2,Action Code,ID,1,1,,,if mapped to a restful service to progress the message.,,,,,,,,,,
3,PRT-3,Action Reason,CWE,0,1,,,,,,,,,,,,,
4,PRT-4,Role of Participation,CWE,1,1,,,,,,,,,,,,,
5,PRT-5,Person,XCN,0,-1,,,,,,,,,,,,,
6,PRT-6,Person Provider Type,CWE,0,1,,,,,,,,,,,,,
7,PRT-7,Organization Unit Type,CWE,0,1,,,,,,,,,,,,,
8,PRT-8,Organization,XON,0,-1,,,,,,,,,,,,,
9,PRT-9,Location,PL,0,-1,,,,,,,,,,,,,
10,PRT-10,Device,EI,0,-1,,,If it represents a HRF or AIDC,udiCarrier[1],,BackboneElement,0,-1,EI[Device-udiCarrier],,,,
10,PRT-10,Device,EI,0,-1,,,If not an HRF or AIDC,identifier,,Identifier,0,-1,EI[Identifier],,,,
11,PRT-11,Begin Date/Time (arrival time),DTM,0,1,,,,,,,,,,,,,
12,PRT-12,End Date/Time (departure time),DTM,0,1,,,,,,,,,,,,,
13,PRT-13,Qualitative Duration,CWE,0,1,,,,,,,,,,,,,
14,PRT-14,Address,XAD,0,-1,,,,,,,,,,,,,
15,PRT-15,Telecommunication Address,XTN,0,-1,,,,,,,,,,,,,
16,PRT-16,UDI Device Identifier,EI,0,1,,,,udiCarrier[2],,BackboneElement,0,-1,EI[Device-udiCarrier],,,,
17,PRT-17,Device Manufacture Date,DTM,0,1,,,,manufactureDate,,dateTime,0,1,,,,,
18,PRT-18,Device Expiry Date,DTM,0,1,,,,expirationDate,,dateTime,0,1,,,,,
19,PRT-19,Device Lot Number,ST,0,1,,,,lotNumber,,string,0,1,,,,,
20,PRT-20,Device Serial Number,ST,0,1,,,,serialNumber,,string,0,1,,,,,
21,PRT-21,Device Donation Identification,EI,0,1,,,,distinctIdentiifer,,string,0,1,,,,,
22,PRT-22,Device Type,CNE,0,1,,,,type,,CodeableConcept,0,1,CNE[CodeableConcept],,,,
23,PRT-23,Preferred Method of Contact,CWE,0,1,,,,,,,,,,,,,
24,PRT-24,Contact Identifiers,PLN,0,-1,,,,,,,,,,,,,
