HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,SCH-1,Placer Appointment ID,EI,0,1,,,,,,,,,,,,,
2,SCH-2,Filler Appointment ID,EI,0,1,,,,,,,,,,,,,
3,SCH-3,Occurrence Number,NM,0,1,,,,,,,,,,,,,
4,SCH-4,Placer Group Number,EI,0,1,,,,,,,,,,,,,
5,SCH-5,Schedule ID,CWE,0,1,,,,,,,,,,,,,
6,SCH-6,Event Reason,CWE,1,1,,,,,,,,,,,,,
7,SCH-7,Appointment Reason,CWE,0,1,,,,,,,,,,,,,
8,SCH-8,Appointment Type,CWE,0,1,,,,,,,,,,,,,
9,SCH-9,Appointment Duration,NM,0,-1,,,,,,,,,,,,,
10,SCH-10,Appointment Duration Units,CNE,0,-1,,,,,,,,,,,,,
11,SCH-11,Appointment Timing Quantity,TQ,1,-1,,,,,,,,,,,,,
12,SCH-12,Placer Contact Person,XCN,1,-1,,,,,,,,,,,,,
12,SCH-12,Placer Contact Person,XCN,1,-1,,,,,,,,,,,,,
12,SCH-12,Placer Contact Person,XCN,1,-1,,,,,,,,,,,,,
13,SCH-13,Placer Contact Phone Number,XTN,0,1,,,,,,,,,,,,,
14,SCH-14,Placer Contact Address,XAD,0,-1,,,,,,,,,,,,,
15,SCH-15,Placer Contact Location,PL,0,1,,,,,,,,,,,,,
16,SCH-16,Filler Contact Person,XCN,1,-1,,,,,,,,,,,,,
16,SCH-16,Filler Contact Person,XCN,1,-1,,,,,,,,,,,,,
16,SCH-16,Filler Contact Person,XCN,1,-1,,,,,,,,,,,,,
17,SCH-17,Filler Contact Phone Number,XTN,0,1,,,,,,,,,,,,,
18,SCH-18,Filler Contact Address,XAD,0,-1,,,,,,,,,,,,,
19,SCH-19,Filler Contact Location,PL,0,1,,,,,,,,,,,,,
20,SCH-20,Entered By Person,XCN,1,-1,,,,agent[1].who(Practitioner),,Reference(Practitioner),1,1,XCN[Practitioner],,,,
20,SCH-20,Entered By Person,XCN,1,-1,,,,agent[1].type.coding.code,,code,0,1,,,"""enterer""",,
20,SCH-20,Entered By Person,XCN,1,-1,,,,agent[1].type.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/provenance-participant-type""",,
21,SCH-21,Entered By Phone Number,XTN,0,-1,,,,,,,,,,,,,
22,SCH-22,Entered By Location,PL,0,1,,,,,,,,,,,,,
23,SCH-23,Parent Placer Appointment ID,EI,0,1,,,,,,,,,,,,,
24,SCH-24,Parent Filler Appointment ID,EI,0,1,,,,,,,,,,,,,
25,SCH-25,Filler Status Code,CWE,0,1,,,,,,,,,,,,,
26,SCH-26,Placer Order Number,EI,0,-1,,,,,,,,,,,,,
27,SCH-27,Filler Order Number,EI,0,-1,,,,,,,,,,,,,
