HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,TQ1-1,Set ID - TQ1,SI,0,1,,,,,,,,,,,,,
2,TQ1-2,Quantity,CQ,0,1,,,,dosageInstruction.doseAndRate.doseQuantity,,simpleQuantity,0,1,CQ[Quantity],,,,
3,TQ1-3,Repeat Pattern,RPT,0,-1,,,,dosageInstruction.timing,,CodeableConcept,0,1,RPT[Timing],,,,
4,TQ1-4,Explicit Time,TM,0,-1,,,,dosageInstruction.timing.event,,dateTime,0,1,,,,,
5,TQ1-5,Relative Time and Units,CQ,0,-1,IF TQ1-3.9 IS EMPTY,,,dosageInstruction.timing.repeat.offset,,unsignedInt,0,1,CQ[UnsignedInt],,,,
6,TQ1-6,Service Duration,CQ,0,1,IF TQ1-7 AND TQ1-8 NOT VALUED,,,occurrenceTiming.boundsDuration,,SimpleQuantity,0,1,CQ[Quantity],,,,The Duration data type is required to be an expression of time using UCUM units
6,TQ1-6,Service Duration,CQ,0,1,IF TQ1-7 VALUED AND TQ1-8 NOT VALUED,,,occurrenceTiming.boundsPeriod.end,,dateTime,0,1,,,occurrenceTiming.boundPeriod.start + TQ1-6,,
6,TQ1-6,Service Duration,CQ,0,1,IF TQ1-7 NOT VALUED AND TQ1-8 VALUED,,,occurneceTiming.boundsPeriod.start,,dateTime,0,1,,,occurrenceTiming.boundPeriod.end - TQ1-6,,
7,TQ1-7,Start date/time,DTM,0,1,,,,dosageInstruction.timing.repeat.boundsPeriod.start,,dateTime,0,1,,,,,
8,TQ1-8,End date/time,DTM,0,1,,,,dosageInstruction.timing.repeat.boundsPeriod.end,,dateTime,0,1,,,,,
9,TQ1-9,Priority,CWE,0,-1,,,,priority,,code,0,1,,ExtendedPriorityCodes,,,
10,TQ1-10,Condition text,TX,0,1,,,,dosageInstruction.additionalInstruction.text,,string,0,-1,,,,,
11,TQ1-11,Text instruction,TX,0,1,,,,text,,string,0,1,,,,,
12,TQ1-12,Conjunction,ID,0,1,,,,,extension??-conjunction,,,,,,,,
13,TQ1-13,Occurrence duration,CQ,0,1,,,,dosageInstruction.timing.repeat.duration,,decimal,0,1,CQ[Decimal],,,,
13,TQ1-13,Occurrence duration,CQ,0,1,,,,dosageInstruction.timing.repeat.durationUnit,,code,0,1,CQ[Code],,,,
14,TQ1-14,Total occurrences,NM,0,1,,,,dosageInstruction.timing.repeat.countMax,,positiveInt,0,1,NM[PositiveInt],,,,
