HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,TXA-1,Set ID- TXA,SI,1,1,,,,,,,,,,,,,
2,TXA-2,Document Type,CWE,1,1,,,,,,,,,,,,,
3,TXA-3,Document Content Presentation,ID,0,1,,,,,,,,,,,,,
4,TXA,Activity Date/Time,DTM,0,1,,,,,,,,,,,,,
5,TXA,Primary Activity Provider Code/Name,XCN,0,-1,,,,,,,,,,,,,
6,TXA,Origination Date/Time,DTM,0,1,,,,,,,,,,,,,
7,TXA,Transcription Date/Time,DTM,0,1,,,,,,,,,,,,,
8,TXA,Edit Date/Time,DTM,0,-1,,,,recorded,,instant,1,1,,,,,
9,TXA,Originator Code/Name,XCN,0,-1,,,,agent[2].role[1].coding[1].code,,code,0,1,,,"""IRCP""",,
9,TXA,Originator Code/Name,XCN,0,-1,,,,agent[2].role[1].coding[1].system,,uri,0,-1,,,"""https://hl7.org/fhir/R4/v3/ParticipationType/cs.html""",,
9,TXA,Originator Code/Name,XCN,0,-1,,,,agent[2].who(Practitioner),,Reference,1,1,XCN[Practitioner],,,,
10,TXA,Assigned Document Authenticator,XCN,0,-1,,,,,,,,,,,,,
11,TXA,Transcriptionist Code/Name,XCN,0,-1,,,,,,,,,,,,,
12,TXA,Unique Document Number,EI,1,1,,,,,,,,,,,,,
13,TXA,Parent Document Number,EI,0,1,,,,,,,,,,,,,
14,TXA,Placer Order Number,EI,0,-1,,,,,,,,,,,,,
15,TXA,Filler Order Number,EI,0,1,,,,,,,,,,,,,
16,TXA,Unique Document File Name,ST,0,1,,,,,,,,,,,,,
17,TXA,Document Completion Status,ID,1,1,,,,,,,,,,,,,
18,TXA,Document Confidentiality Status,ID,0,1,,,,,,,,,,,,,
19,TXA,Document Availability Status,ID,0,1,,,,,,,,,,,,,
20,TXA,Document Storage Status,ID,0,1,,,,,,,,,,,,,
21,TXA,Document Change Reason,ST,0,1,,,,reason.text,,string,0,-1,,,,,
22,TXA,"Authentication Person, Time Stamp (set)",PPN,0,-1,,,,,,,,,,,,,
23,TXA,Distributed Copies (Code and Name of Recipient(s) ),XCN,0,-1,,,If the distribution was updated after the initial message was sent.,agent[1].role[1].coding[1].code,,code,0,1,,,"""IRCP""",,
23,TXA,Distributed Copies (Code and Name of Recipient(s) ),XCN,0,-1,,,If the distribution was updated after the initial message was sent.,agent[1].role[1].coding[1].system,,uri,0,-1,,,"""https://hl7.org/fhir/R4/v3/ParticipationType/cs.html""",,
23,TXA,Distributed Copies (Code and Name of Recipient(s) ),XCN,0,-1,,,If the distribution was updated after the initial message was sent.,agent[1].who(Practitioner),,Reference,1,1,XCN[Practitioner],,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
24,TXA,Folder Assignment,CWE,0,-1,,,,,,,,,,,,,
25,TXA,Document Title,ST,0,-1,,,,,,,,,,,,,
26,TXA,Agreed Due Date/Time,DTM,0,1,,,,,,,,,,,,,
27,TXA,Creating Facility,HD,0,1,,,,,,,,,,,,,
28,TXA,Creating Specialty,CWE,0,1,,,,,,,,,,,,,
