,Status,Owner,Comment,Link
HL7 Message - FHIR R4: ACK,Under Construction,,,https://docs.google.com/spreadsheets/d/14f9maNOJGnl9Z4FkcPlRSoT2xyoU1HKa3kWdPVFUOwQ/edit#gid=0
HL7 Message - FHIR R4: ADT_A01,Ready for Ballot,Hans,,https://docs.google.com/spreadsheets/d/1kPOewgrlY4Mpi8W3HyLzb5J-tuZnUBAzgsXuhX5lcGo/edit#gid=0
HL7 Message - FHIR R4: ADT_A02,Ready for Ballot,Hans,,https://docs.google.com/spreadsheets/d/1BY-JEvMz5f22Tq489SdiWWEW-PqltTODb6JJVejjqTY/edit#gid=0
HL7 Message - FHIR R4: ADT_A05,Ready for Ballot,Hans,,https://docs.google.com/spreadsheets/d/1vFBpaKlp6IA6_Kk81QjFRCg1Q8v-ovIMjuNw5LNRkMs/edit#gid=0
HL7 Message - FHIR R4: ADT_A06,Ready for Ballot,Hans,,https://docs.google.com/spreadsheets/d/1jG7x_d9Pc1ZIRRxPTAw-twONy61hPpH5zc10UxAA9cw/edit#gid=0
HL7 Message - FHIR R4: ADT_A09,Ready for Ballot,Hans,Needs to figure which locations are valued when/how.  May yield different segment maps.,https://docs.google.com/spreadsheets/d/1lFfoksYBm2Pbfs4PvDtCHkbuQgTL1Ooj4jREYFLK6Lc/edit#gid=0
HL7 Message - FHIR R4: ADT_A11,Under Construction,Hans,,https://docs.google.com/spreadsheets/d/1qnrjsHZkYMiOIGb2vhZEjxQWCf6vo-exl8QJ6xp3kH4/edit#gid=0
HL7 Message - FHIR R4: ADT_A17,Ready for Ballot,Craig,,https://docs.google.com/spreadsheets/d/160nkohdfsWd4kjmuDqKi73g5WY3Frsdy4qZn1e9yyZo/edit#gid=0
HL7 Message - FHIR R4: OML_O21,Ready for Ballot,Hans,,https://docs.google.com/spreadsheets/d/1cSYLIXVfIjl7ib2DEGxD96LD9-YVJNQtKul5IwzJtts/edit#gid=0
HL7 Message - FHIR R4: ORM_O01,Ready for Ballot,Hans,,https://docs.google.com/spreadsheets/d/19C2jjzXZ8D7Um1iB-e6NmLfZVPvyZNkgwU8IxCJiwGs/edit#gid=0
HL7 Message - FHIR R4: ORU_R01,Ready for Ballot,Hans,,https://docs.google.com/spreadsheets/d/1gHK6_PFyr7PXns7wLDs0LSLsbjm0x-4bWUu3crXMKMI/edit#gid=0
HL7 Message - FHIR R4: ORU_R01[Micro],Under Construction,Craig,"Do not use, experimental map for discrete micro",https://docs.google.com/spreadsheets/d/1MXb3yDwHQYMjzoOzQRj1AaSYFwu1uRpqur-y51-Qtgo/edit#gid=0
HL7 Message - FHIR R4: RAS_O17,Under Construction,Sajjad,,https://docs.google.com/spreadsheets/d/1jbKzlusMIOB5YzYxBpNrGsIJF05ByzM8LCdlzGg1YK0/edit#gid=0
HL7 Message - FHIR R4: RDE_O01,Under Construction,Hans,,https://docs.google.com/spreadsheets/d/1zFHNFGdehtJwZP57SVsbC1Mtvf9TDTjv9NdwC58EzSg/edit#gid=0
HL7 Message - FHIR R4: RDE_O11,Under Construction,Efi,,https://docs.google.com/spreadsheets/d/1j2sFqTxQe6Obg0R9UXurpLap0PglJQ-Gh3sfIehycNs/edit#gid=0
HL7 Message - FHIR R4: SIU_S12,Ready for Ballot,Camila,,HL7 Message - FHIR R4: SIU-S12
HL7 Message - FHIR R4: VXU_V04,Ready for Ballot,Craig,,https://docs.google.com/spreadsheets/d/1_7maXDpc_qMMRzMm0x6d90-Hj6vvhGyO2kyFX0tpuZs/edit#gid=0
