HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
A,Amended ,HL70085,,,,ammended,,Ammended,http://hl7.org/fhir/observation-status,,
B,Appended ,HL70085,,,,,,,,,
C,Correction ,HL70085,,,,corrected,,Corrected,http://hl7.org/fhir/observation-status,,
D,Deleted,HL70085,,,,entered-in-error,,Entered in Error,http://hl7.org/fhir/observation-status,,
F,Final,HL70085,,,,final,,Final,http://hl7.org/fhir/observation-status,,
I,In Process,HL70085,,,,,registered??,Registered,http://hl7.org/fhir/observation-status,,
N,Not Asked,HL70085,,,,,,,,,
O,Order Detail,HL70085,,,,,,,,,
P,Preliminary,HL70085,,,,preliminary,,Preliminary,http://hl7.org/fhir/observation-status,,
R,Entered - Not Verified,HL70085,,,,,,,,,
S,Partial,HL70085,,,,preliminary,,Preliminary,http://hl7.org/fhir/observation-status,,
V,Verified,HL70085,,,,,,,,,
X,Cannot be Obtained,HL70085,,,,,,,,,
U,Status Change to Final Without Retransmission,HL70085,,,,,,,,,
W,Original Posted as Wrong,HL70085,,,,entered-in-error,,Entered in Error,http://hl7.org/fhir/observation-status,,
