HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
PRN,Primary Residence Number,HL70201,,,,home,,Home,http://hl7.org/fhir/contact-point-use,,
ORN,Other Residence Number,HL70201,,,,,,,,,
WPN,Work Number,HL70201,,,,work,,Work,http://hl7.org/fhir/contact-point-use,,
VHN,Vacation Home Number,HL70201,,,,,,,,,
ASN,Answering Service Number,HL70201,,,,,,,,,
EMR,Emergency Number,HL70201,,,,,,,,,
NET,Network (email) Address,HL70201,,,,,,,,,
BPN,Beeper Number,HL70201,,,,,,,,,
PRS,Personal,HL70201,,,,mobile,,Mobile,http://hl7.org/fhir/contact-point-use,,
